treatment	FS	FS	FS	B	B	B	F	F	F	S	B	S	S	FS	FS	FS	B	B	B	F	F	B	F	S	S	S	FS	FS	FS	B	F	F	F	S	S	S
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified	0	0	9.4516	10.9315	0	6.82133	0	0	0	7.52212	0	0	0	0	0	0	5.77073	0	0	0	15.3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1151
FERMENTATION-PWY: mixed acid fermentation	66.9921	78.1335	94.1789	111.832	108.362	129.914	113.091	99.2526	155.974	86.8769	113.537	105.81	110.027	58.306	90.6437	98.0609	134.956	105.09	171.395	102.415	122.134	52.3006	151.939	129.413	161.58	86.2834	119.619	128.717	102.474	108.07	74.3342	137.03	107.238	112.68	102.715	114.337
FERMENTATION-PWY: mixed acid fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	18.4696	25.6633	34.6239	12.3252	17.5363	33.2621	11.8422	0	19.2173	11.0632	0	15.9496	27.6525	22.8918	0	57.153	9.1097	34.1207	0	0	0	19.8068	14.7092	20.1361	7.61334	17.9296	0	0	0	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation|unclassified	21.8709	5.87459	27.4224	23.0732	43.8262	26.6123	21.3148	37.4964	25.1022	21.5791	31.7986	22.8873	37.1102	28.7504	22.8072	23.6596	30.2599	49.7051	26.5221	20.8212	31.9146	13.0667	38.7667	34.7378	36.5298	18.3957	31.4372	34.005	27.3284	35.1529	0	36.6933	30.5059	31.989	28.2717	39.4875
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	33.4721	0	46.3711	54.8312	62.5984	12.9631	13.0932	22.9901	68.7221	0	92.103	98.6142	104.936	0	108.082	31.8622	0	75.9225	40.102	25.195	40.6735	24.5808	69.5667	97.2167	108.667	113.87	121.875	134.916	0	0	0	11.1193	0	0	42.5572
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Escherichia.s__Escherichia_coli	0	0	0	8.04032	0	15.2895	0	0	3.01489	0	0	8.25903	0	0	0	0	11.1258	0	11.4045	0	0	0	0	0	0	5.3165	0	0	6.63444	0	0	0	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|unclassified	0	0	0	0	0	5.85566	0	0	0	0	0	3.6532	9.01026	0	0	0	0	0	0	0	0	0	9.3848	0	0	0	3.35848	7.49171	7.49578	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	65.6869	0	60.1958	95.7907	36.6577	101.156	51.3803	83.2606	74.937	61.8653	53.8527	69.2844	48.8796	56.0417	60.226	48.8003	77.1503	0	84.1228	50.1933	79.0085	44.3231	64.265	56.6026	60.6518	57.1403	59.7845	49.1168	63.6816	49.2796	47.8186	37.476	50.943	52.6739	60.5186	64.3822
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Escherichia.s__Escherichia_coli	0	0	0	18.8435	7.9475	37.7713	0	0	12.814	6.40696	0	7.37262	0	0	0	0	16.4165	0	23.9646	0	12.8333	0	0	0	6.73307	2.18599	0	0	8.90713	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33284	0	0	0	0	0	0	0	0	0	1.49965	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|unclassified	0	0	0	9.32579	0	12.5493	6.94149	0	6.88153	7.67862	0	7.01255	9.98281	0	0	0	6.98436	0	3.99287	8.83545	11.1971	0	9.59729	10.693	0	8.1203	0	0	5.32698	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation	44.402	36.2838	38.5594	102.204	42.2247	90.7333	64.148	74.0647	64.5239	45.0887	32.7663	53.6267	34.6461	40.458	59.9088	30.612	70.0263	49.7285	83.8917	32.4105	71.3295	31.4196	48.7496	56.6754	44.0856	54.7128	57.0739	44.7993	61.1415	29.978	35.0229	35.6471	32.8039	34.7049	44.2082	47.7307
FUCCAT-PWY: fucose degradation|g__Blautia.s__Ruminococcus_torques	15.3534	15.4395	23.4518	9.70796	0	8.83266	9.70056	10.8522	13.8259	8.58483	14.5815	7.07741	0	5.50563	6.25761	8.97151	3.38275	0	7.03848	0	8.92079	16.9943	0	0	8.1174	7.70878	8.49936	6.55347	7.87887	13.91	14.4476	9.70098	10.5813	24.6716	23.2177	16.9408
FUCCAT-PWY: fucose degradation|g__Escherichia.s__Escherichia_coli	0	0	0	28.9977	14.2126	36.4187	8.64484	0	10.9379	4.12185	0	4.62634	8.63691	14.3039	7.33659	0	26.7221	0	27.4993	11.7663	13.6082	0	9.31636	0	10.2597	10.3181	14.4333	12.1861	14.2474	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	2.8352	3.28585	0	0	0	0	0	0	0	0	0	0	3.02973	0	5.00103	0	1.717	0	0	0	1.84413	0	0	0	2.01254	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997587	0	0	0	0	0.490983	0	0	1.645	0	0	0	2.57975	0	1.84304	0.756041
FUCCAT-PWY: fucose degradation|unclassified	0	0	0	16.0162	20.8131	15.6819	24.5693	15.8513	8.49525	15.6272	0	10.7785	8.40237	0	13.539	15.0844	4.84953	21.9522	4.27823	7.20775	16.1627	0	15.0468	15.8162	5.2208	9.74025	5.36898	4.73483	4.56039	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0	0	0	68.0526	50.3331	55.7857	33.9046	49.2675	50.6638	41.427	0	50.7572	41.4494	43.6487	39.1828	36.5941	56.4909	0	63.6554	33.5473	42.1944	0	42.4571	33.9455	49.3458	39.409	53.6487	30.6254	47.8677	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	7.6666	0	0	0	0	0	0	0	0	0	0	7.19215	0	4.36332	0	0	0	0	0	0	4.2304	0	0	5.62772	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|unclassified	0	0	0	4.52614	0	8.81028	6.90086	6.4957	5.89441	4.5571	0	4.90269	8.67377	7.75426	0	9.22185	0	0	4.12893	0	0	0	7.10287	0	3.40988	3.41622	4.51122	0	4.1343	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I	0	0	0	57.9257	153.472	58.1639	61.3543	43.792	67.2134	44.9528	0	39.4702	19.7938	26.2146	38.0847	51.5965	61.5442	0	94.0427	59.6073	89.0812	0	49.9412	13.7016	38.3274	87.2202	33.5492	12.091	43.7723	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	48.3046	74.4861	43.6504	25.4659	17.6785	43.5901	21.7148	0	16.9592	0	12.8793	8.22342	27.0827	42.7227	0	76.3995	16.9935	49.9964	0	24.0943	0	21.739	25.6189	22.0305	2.40762	32.498	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I|unclassified	0	0	0	2.30092	22.044	11.7368	0	20.6826	15.3548	17.2428	0	15.8224	16.8177	10.0672	0	18.5606	11.7274	0	6.72208	12.77	15.9924	0	0	11.2173	8.86245	19.8563	8.9518	10.5718	1.10914	0	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation	8.58054	0	0	40.7365	28.1183	52.5913	21.3193	19.2248	15.4764	26.7377	0	26.8641	23.0577	21.0143	16.8751	28.3225	15.3052	37.8038	53.5907	15.4668	55.762	0	20.6507	11.2005	25.1128	32.6611	29.8721	18.216	24.6321	0	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation|g__Escherichia.s__Escherichia_coli	0	0	0	11.0021	0	27.0204	1.982	0	2.91345	0	0	8.28914	3.12908	0	0	7.66303	3.21136	0	28.118	0	14.382	0	1.54297	0	8.18498	10.5915	14.0223	2.21213	9.60852	0	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	4.12441	0	0	3.59521	0	0	0	0	0	0	0	0	0	6.05316	0	0	0	4.75522	0	2.23876	3.66472	0	0	0	0	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation|unclassified	7.79344	0	0	9.65303	24.1069	12.0877	0	16.288	4.24788	10.2447	0	10.6427	13.9161	10.818	12.7217	0	9.30763	0	10.7946	7.57296	18.4198	0	6.60395	8.93182	8.45828	6.72022	2.26238	6.18592	6.50604	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I	46.0379	29.1839	41.1248	63.1076	55.7067	66.5515	32.2664	50.49	57.5408	51.2868	24.7594	58.7152	38.4827	37.8971	36.3399	44.9322	52.6305	42.9504	57.1278	29.7327	52.3153	28.6244	39.6941	37.4083	45.1901	35.064	51.0784	38.3099	42.4391	33.7032	22.3955	32.1818	35.2395	26.3173	20.4277	25.5416
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	9.82492	0	0	4.07692	4.34285	0	0	0	0	0	0	6.71828	0	2.73859	0	5.81051	0	7.34894	0	2.58007	3.81511	0	0	3.84257	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	20.8012	24.0827	22.2982	11.5626	0	8.41893	0	7.05764	9.1794	0	18.9859	13.0006	0	0	0	0	10.802	0	9.6416	0	10.3817	22.0028	0	0	11.1555	11.0551	13.5683	13.6784	11.095	25.5403	19.0257	26.0734	24.8831	16.0226	0	21.0717
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Intestinimonas.s__Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0.713849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I|unclassified	0	0	0	6.2619	7.89411	11.6735	13.133	5.18349	6.52976	7.78848	0	5.8618	7.34983	11.995	6.82326	7.30074	3.08883	19.1242	4.77982	3.71371	0	0	6.43222	0	4.69914	3.55152	6.16563	2.72687	6.9099	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	126.525	93.7701	108.957	136.16	139.838	117.493	88.7139	130.758	121.551	114.279	93.3739	109.872	98.8042	130.201	84.7756	122.367	127.034	61.0531	118.241	95.5878	96.8966	75.6578	60.0858	55.6098	75.3065	96.419	89.9013	87.8688	110.234	65.8618	68.0015	99.9663	105.461	63.1461	47.3324	132.38
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Blautia.s__Blautia_obeum"	9.35957	0	0	5.03561	0	0	0	0	0	7.39113	0	0	0	0	0	0	0	0	4.58384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8899
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Blautia.s__Blautia_wexlerae"	0	0	9.15771	0	0	1.77098	0	0	0	0	7.04838	0	0	0	0	0	3.42256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Blautia.s__Ruminococcus_torques"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.83157	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Escherichia.s__Escherichia_coli"	0	0	0	18.4673	32.2119	32.7395	7.72158	27.1603	19.3294	16.5534	0	16.2227	12.1938	23.719	11.2485	24.1642	30.552	0	42.18	6.48595	10.3886	0	7.8514	0	7.92013	5.53147	12.0026	24.0206	20.5709	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Escherichia.s__Escherichia_fergusonii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	19.4249	13.7653	13.8068	7.16236	0	0	0	0	8.77359	0	0	7.0624	0	0	0	0	7.90414	0	8.21521	0	0	14.9308	0	0	0	0	10.0157	0	7.6599	0	0	22.0836	14.1578	0	0	20.8757
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Klebsiella.s__Klebsiella_oxytoca"	0	0	0	3.1097	0	3.69397	0	5.02584	0	4.41022	0	0	0	0	0	0	1.24602	0	3.56337	0	0	0	0	0	0	2.41239	0.676503	0	1.54586	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Klebsiella.s__Klebsiella_pneumoniae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|unclassified"	0	0	14.6258	4.4334	18.4476	8.2595	19.1308	11.5075	10.0624	16.8153	17.0894	13.46	0	11.545	15.5125	6.26185	4.43576	24.0314	2.30519	0	22.1095	0	9.05195	15.1983	11.7419	13.3462	10.1085	6.89444	8.59534	0	11.022	9.40875	12.3022	0	0	8.70651
GLUCARDEG-PWY: D-glucarate degradation I	0	0	0	43.5827	59.8563	48.764	40.3212	39.5081	26.9032	23.6679	0	32.3356	18.2905	20.5981	34.9186	32.1914	33.5942	0	61.9886	23.828	31.3812	0	34.8751	12.8793	19.0846	23.5206	24.8955	10.209	34.1708	0	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	25.9504	30.0357	34.7997	2.88035	16.6604	7.55396	6.27715	0	11.5971	0	4.82857	8.15109	7.30242	9.21504	0	44.2508	4.05979	0	0	12.7403	0	6.02108	3.09147	9.17557	2.1063	26.8023	0	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I|unclassified	0	0	0	2.29515	17.9829	11.136	0	19.8674	12.7675	14.3994	0	16.2203	16.1745	9.52719	0	16.7957	11.1331	0	6.41916	11.2496	14.1993	0	0	11.1787	7.97346	15.7083	8.46229	9.1287	1.05399	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	0	57.9257	153.472	58.1639	61.3543	43.792	67.2134	44.9528	0	39.4702	19.7938	26.2146	38.0847	51.5965	61.5442	0	94.0427	59.6073	89.0812	0	49.9412	13.7016	38.3274	87.2202	33.5492	12.091	43.7723	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	48.3046	74.4861	43.6504	25.4659	17.6785	43.5901	21.7148	0	16.9592	0	12.8793	8.22342	27.0827	42.7227	0	76.3995	16.9935	49.9964	0	24.0943	0	21.739	25.6189	22.0305	2.40762	32.498	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|unclassified	0	0	0	2.30092	22.044	11.7368	0	20.6826	15.3548	17.2428	0	15.8224	16.8177	10.0672	0	18.5606	11.7274	0	6.72208	12.77	15.9924	0	0	11.2173	8.86245	19.8563	8.9518	10.5718	1.10914	0	0	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I	225.421	214.07	224.512	244.945	190.264	222.464	228.399	216.383	228.151	223.445	230.654	243.38	213.797	207.137	229.741	231.018	235.766	195.943	241.475	222.433	222.926	196.66	222.9	213.265	239.409	251.268	236.316	229.699	259.286	177.795	199.364	196.261	168.714	195.355	219.067	237.998
GLUCONEO-PWY: gluconeogenesis I|g__Escherichia.s__Escherichia_coli	0	0	0	25.8803	0	36.7378	0	0	19.3693	0	0	0	0	0	0	11.0225	13.0151	0	39.1643	7.5544	14.1887	0	0	0	0	0	0	0	11.4683	0	0	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I|unclassified	23.6412	13.4778	0	23.0579	39.6802	20.3908	33.6928	22.0736	24.3804	25.0046	0	32.5765	25.9109	25.3466	18.0903	24.0401	22.4984	40.2212	18.9416	20.2018	29.2392	0	24.3913	25.5518	30.4544	23.4883	26.3527	19.516	21.0122	0	0	0	0	0	0	13.1377
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	300.857	0	270.052	306.419	308.286	295.228	309.476	279.094	340.925	341.217	0	307.788	313.94	270.502	333.581	297.994	316.476	193.111	306.21	331.921	284.696	0	272.856	296.3	260.283	315.824	306.864	286.732	322.184	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1051	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54843	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	28.024	19.9608	31.4037	9.06735	17.7421	14.8684	7.40617	0	9.39848	22.5374	0	0	14.501	28.8226	0	33.9429	0	40.293	0	10.2522	7.13219	6.0778	19.3928	18.7151	30.3542	14.7349	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0.544754	0	0	0	0	0	0	0	2.10107	0	0	0	0	1.66034	0	2.08144	0	0	0	0	0	0	0	1.89837	2.40189	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74333	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Streptococcus.s__Streptococcus_equinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|unclassified	56.7011	0	39.4464	37.0198	27.3565	56.8087	51.8642	43.9168	53.9139	50.693	0	28.4422	36.5978	42.6658	0	20.9307	36.5609	34.0957	29.3456	34.8376	27.5209	0	28.0322	30.175	31.369	38.2253	36.5596	24.0234	31.7694	0	0	0	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	53.3239	52.2544	75.7308	67.7763	56.2297	75.5889	34.4024	57.847	54.3638	56.2018	67.2567	61.4688	53.3975	42.1098	40.5601	51.9552	64.6876	32.3041	65.5546	48.8535	59.5908	53.606	45.8434	44.3314	49.4111	51.0118	53.9944	51.865	56.3015	67.0332	47.4585	51.0118	48.1704	44.1526	54.6248	53.673
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	11.4963	0	0	4.82962	4.49249	0	0	0	0	0	8.29873	6.87276	0	3.3122	3.97042	6.79054	0	0	0	2.70004	4.42001	0	0	6.15248	0	0	0	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	14.4479	17.8041	20.3648	7.38417	0	0	0	0	8.14878	0	20.054	9.45927	0	0	0	0	9.85353	0	6.99729	0	0	0	0	0	8.02298	0	12.6569	0	10.7198	23.1264	18.3826	14.9521	0	0	0	19.606
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation|g__Intestinimonas.s__Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
