,Superclass1,Superclass2,pathway,
PWY-5188,Biosynthesis,Tetrapyrrole Biosynthesis,tetrapyrrole biosynthesis I (from glutamate),
PWY-5189,Biosynthesis,Tetrapyrrole Biosynthesis,tetrapyrrole biosynthesis II (from glycine),
PWY-5194,Biosynthesis,Tetrapyrrole Biosynthesis,siroheme biosynthesis,
PWY-5195,Biosynthesis,Secondary Metabolite Biosynthesis,artemisinin biosynthesis,
PWY-5196,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",factor 430 biosynthesis,
PWY-5197,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,lactate biosynthesis (archaea),
PWY-5198,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",factor 420 biosynthesis,
PWY-5199,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",factor 420 polyglutamylation,
PWY-5203,Biosynthesis,Secondary Metabolite Biosynthesis,soybean saponin I biosynthesis,
PWY-5207,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme B/coenzyme M regeneration,
PWY-5209,Generation of Precursor Metabolites and Energy,Respiration,methyl-coenzyme M oxidation to CO2,
PWY-5247,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from methylamine,
PWY-5248,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from dimethylamine,
PWY-5250,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from trimethylamine,
PWY-5254,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",methanofuran biosynthesis,
PWY-5257,Degradation/Utilization/Assimilation,Carbohydrate Degradation,superpathway of pentose and pentitol degradation,
PWY-5258,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,methanogenesis from dimethylsulfide,
PWY-5259,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from methanethiol,
PWY-5260,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,methanogenesis from methylthiopropanoate,
PWY-5261,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from tetramethylammonium,
PWY-5265,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan biosynthesis II (staphylococci),
PWY-5266,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,p-cymene degradation,
PWY-5267,Activation/Inactivation/Interconversion,Activation,glucosinolate breakdown,
PWY-5268,Biosynthesis,Secondary Metabolite Biosynthesis,salvianin biosynthesis,
PWY-5269,Biosynthesis,Fatty Acid and Lipid Biosynthesis,cardiolipin biosynthesis II,
PWY-5270,Biosynthesis,Secondary Metabolite Biosynthesis,morphine biosynthesis,
PWY-5271,Degradation/Utilization/Assimilation,Hormone Degradation,phaseic acid biosynthesis,
PWY-5272,Activation/Inactivation/Interconversion,Interconversions,abscisic acid glucose ester metabolism,
PWY-5273,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,p-cumate degradation,
PWY-5274,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfide oxidation II (sulfide dehydrogenase),
PWY-5276,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfite oxidation I (sulfite oxidoreductase),
PWY-5277,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,thiosulfate disproportionation I (thiol-dependent),
PWY-5278,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfite oxidation III,
PWY-5279,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfite oxidation II,
PWY-5280,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation IV,
PWY-5283,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation V,
PWY-5284,Biosynthesis,Secondary Metabolite Biosynthesis,shisonin biosynthesis,
PWY-5285,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfide oxidation III (sulfur dioxygenase),
PWY-5286,Biosynthesis,Secondary Metabolite Biosynthesis,anthocyanidin sophoroside metabolism,
PWY-5287,Biosynthesis,Secondary Metabolite Biosynthesis,sanguinarine and macarpine biosynthesis,
PWY-5288,Biosynthesis,Secondary Metabolite Biosynthesis,"astaxanthin biosynthesis (bacteria, fungi, algae)",
PWY-5290,Biosynthesis,Secondary Metabolite Biosynthesis,secologanin and strictosidine biosynthesis,
PWY-5291,Biosynthesis,Secondary Metabolite Biosynthesis,canthaxanthin biosynthesis,
PWY-5292,Biosynthesis,Secondary Metabolite Biosynthesis,vindoline and vinblastine biosynthesis,
PWY-5294,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans),
PWY-5295,Biosynthesis,Secondary Metabolite Biosynthesis,ternatin C5 biosynthesis,
PWY-5296,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,thiosulfate oxidation III (multienzyme complex),
PWY-5297,Biosynthesis,Tetrapyrrole Biosynthesis,siroheme amide biosynthesis,
PWY-5298,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation VI,
PWY-5301,Biosynthesis,Secondary Metabolite Biosynthesis,ajmaline and sarpagine biosynthesis,
PWY-5302,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur disproportionation II (aerobic),
PWY-5303,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,thiosulfate oxidation II (via tetrathionate),
PWY-5304,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of sulfur oxidation (Acidianus ambivalens),
PWY-5305,Biosynthesis,Secondary Metabolite Biosynthesis,bixin biosynthesis,
PWY-5306,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),
PWY-5307,Biosynthesis,Secondary Metabolite Biosynthesis,gentiodelphin biosynthesis,
PWY-5308,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of sulfur metabolism (Desulfocapsa sulfoexigens),
PWY-5310,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside),
PWY-5311,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation VII,
PWY-5312,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside),
PWY-5313,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside),
PWY-5314,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation VIII,
PWY-5315,Biosynthesis,Secondary Metabolite Biosynthesis,N-methyl-&Delta;1-pyrrolinium cation biosynthesis,
PWY-5316,Biosynthesis,Secondary Metabolite Biosynthesis,nicotine biosynthesis,
PWY-5317,Biosynthesis,Secondary Metabolite Biosynthesis,hyoscyamine and scopolamine biosynthesis,
PWY-5318,Biosynthesis,Secondary Metabolite Biosynthesis,calystegine biosynthesis,
PWY-5319,Biosynthesis,Secondary Metabolite Biosynthesis,coumarin metabolism (to melilotic acid),
PWY-5320,Biosynthesis,Secondary Metabolite Biosynthesis,kaempferol glycoside biosynthesis (Arabidopsis),
PWY-5321,Biosynthesis,Secondary Metabolite Biosynthesis,quercetin glycoside biosynthesis (Arabidopsis),
PWY-5324,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation IX,
PWY-5326,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfite oxidation IV,
PWY-5327,Degradation/Utilization/Assimilation,Amino Acid Degradation,superpathway of L-lysine degradation,
PWY-5328,Degradation/Utilization/Assimilation,Amino Acid Degradation,superpathway of L-methionine salvage and degradation,
PWY-5329,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-cysteine degradation III,
PWY-5331,Biosynthesis,Secondary Metabolite Biosynthesis,taurine biosynthesis,
PWY-5332,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur reduction I,
PWY-5335,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of sulfide oxidation (Starkeya novella),
PWY-5336,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,carbon disulfide oxidation II (aerobic),
PWY-5337,Biosynthesis,Carbohydrate Biosynthesis,stachyose biosynthesis,
PWY-5338,Biosynthesis,Secondary Metabolite Biosynthesis,galactosylcyclitol biosynthesis,
PWY-5339,Biosynthesis,Secondary Metabolite Biosynthesis,chalcone 2'-O-glucoside biosynthesis,
PWY-5340,Activation/Inactivation/Interconversion,Activation,sulfate activation for sulfonation,
PWY-5342,Biosynthesis,Carbohydrate Biosynthesis,ajugose biosynthesis I (galactinol-dependent),
PWY-5343,Biosynthesis,Carbohydrate Biosynthesis,ajugose biosynthesis II (galactinol-independent),
PWY-5344,Biosynthesis,Amino Acid Biosynthesis,L-homocysteine biosynthesis,
PWY-5345,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-methionine biosynthesis (by sulfhydrylation),
PWY-5347,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-methionine biosynthesis (transsulfuration),
PWY-5348,Biosynthesis,Secondary Metabolite Biosynthesis,kaempferol triglucoside biosynthesis,
PWY-5349,Biosynthesis,Secondary Metabolite Biosynthesis,esculetin biosynthesis,
PWY-5350,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,thiosulfate disproportionation III (rhodanese),
PWY-5352,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,thiosulfate disproportionation II (non thiol-dependent),
PWY-5353,Biosynthesis,Fatty Acid and Lipid Biosynthesis,arachidonate biosynthesis I (lower eukaryotes),
PWY-5355,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,nitroethane degradation,
PWY-5358,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,tetrathionate reduction I (to thiosulfate),
PWY-5359,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,tetrathionate reductiuon II (to trithionate),
PWY-5360,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of tetrathionate reduction (Salmonella typhimurium),
PWY-5361,Biosynthesis,Fatty Acid and Lipid Biosynthesis,(5Z)-icosenoate biosynthesis,
PWY-5362,Biosynthesis,Fatty Acid and Lipid Biosynthesis,sapienate biosynthesis,
PWY-5363,Biosynthesis,Secondary Metabolite Biosynthesis,chrysin biosynthesis,
PWY-5364,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur reduction II (via polysulfide),
PWY-5365,Biosynthesis,Secondary Metabolite Biosynthesis,linear furanocoumarin biosynthesis,
PWY-5366,Biosynthesis,Fatty Acid and Lipid Biosynthesis,palmitoleate biosynthesis II (plants and bacteria),
PWY-5367,Biosynthesis,Fatty Acid and Lipid Biosynthesis,petroselinate biosynthesis,
PWY-5368,Biosynthesis,Fatty Acid and Lipid Biosynthesis,dimorphecolate biosynthesis,
PWY-5370,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,carbon tetrachloride degradation I,
PWY-5372,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,carbon tetrachloride degradation II,
PWY-5373,Biosynthesis,Fatty Acid and Lipid Biosynthesis,calendate biosynthesis,
PWY-5374,Biosynthesis,Fatty Acid and Lipid Biosynthesis,punicate biosynthesis,
PWY-5375,Biosynthesis,Fatty Acid and Lipid Biosynthesis,&alpha;-eleostearate biosynthesis,
PWY-5377,Biosynthesis,Secondary Metabolite Biosynthesis,&alpha;-amyrin biosynthesis,
PWY-5379,Biosynthesis,Secondary Metabolite Biosynthesis,B series fagopyritols biosynthesis,
PWY-5380,Biosynthesis,Secondary Metabolite Biosynthesis,A series fagopyritols biosynthesis,
PWY-5381,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",pyridine nucleotide cycling (plants),
PWY-5382,Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,"hydrogen oxidation II (aerobic, NAD)",
PWY-5384,Degradation/Utilization/Assimilation,Carbohydrate Degradation,sucrose degradation IV (sucrose phosphorylase),
PWY-5386,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation I,
PWY-5388,Biosynthesis,Secondary Metabolite Biosynthesis,N-glucosylnicotinate metabolism,
PWY-5389,Biosynthesis,Secondary Metabolite Biosynthesis,3-methylthiopropanoate biosynthesis,
PWY-5390,Biosynthesis,Secondary Metabolite Biosynthesis,rutin biosynthesis,
PWY-5391,Biosynthesis,Secondary Metabolite Biosynthesis,syringetin biosynthesis,
PWY-5392,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,reductive TCA cycle II,
PWY-5393,Biosynthesis,Secondary Metabolite Biosynthesis,raspberry ketone biosynthesis,
PWY-5394,Biosynthesis,Secondary Metabolite Biosynthesis,betalamic acid biosynthesis,
PWY-5397,Biosynthesis,Secondary Metabolite Biosynthesis,crocetin biosynthesis,
PWY-5398,Biosynthesis,Secondary Metabolite Biosynthesis,crocetin esters biosynthesis,
PWY-5399,Biosynthesis,Secondary Metabolite Biosynthesis,betacyanin biosynthesis,
PWY-5400,Biosynthesis,Secondary Metabolite Biosynthesis,amaranthin biosynthesis,
PWY-5403,Biosynthesis,Secondary Metabolite Biosynthesis,betaxanthin biosynthesis (via dopamine),
PWY-5404,Biosynthesis,Secondary Metabolite Biosynthesis,betaxanthin biosynthesis (via dopaxanthin),
PWY-5405,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of betalain biosynthesis,
PWY-5406,Biosynthesis,Secondary Metabolite Biosynthesis,divinyl ether biosynthesis I,
PWY-5407,Biosynthesis,Secondary Metabolite Biosynthesis,9-lipoxygenase and 9-allene oxide synthase pathway,
PWY-5408,Biosynthesis,Secondary Metabolite Biosynthesis,9-lipoxygenase and 9-hydroperoxide lyase pathway,
PWY-5409,Biosynthesis,Secondary Metabolite Biosynthesis,divinyl ether biosynthesis II,
PWY-5410,Biosynthesis,Secondary Metabolite Biosynthesis,traumatin and (Z)-3-hexen-1-yl acetate biosynthesis,
PWY-5411,Biosynthesis,Secondary Metabolite Biosynthesis,abietic acid biosynthesis,
PWY-5412,Biosynthesis,Secondary Metabolite Biosynthesis,levopimaric acid biosynthesis,
PWY-5413,Biosynthesis,Secondary Metabolite Biosynthesis,neoabietic acid biosynthesis,
PWY-5414,Biosynthesis,Secondary Metabolite Biosynthesis,palustric acid biosynthesis,
PWY-5415,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,catechol degradation I (meta-cleavage pathway),
PWY-5416,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of diterpene resin acids biosynthesis,
PWY-5417,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,catechol degradation III (ortho-cleavage pathway),
PWY-5418,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,phenol degradation I (aerobic),
PWY-5419,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,catechol degradation to 2-oxopent-4-enoate II,
PWY-5420,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,catechol degradation II (meta-cleavage pathway),
PWY-5421,Biosynthesis,Secondary Metabolite Biosynthesis,dehydroabietic acid biosynthesis,
PWY-5422,Biosynthesis,Secondary Metabolite Biosynthesis,isopimaric acid biosynthesis,
PWY-5423,Biosynthesis,Secondary Metabolite Biosynthesis,oleoresin monoterpene volatiles biosynthesis,
PWY-5424,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of oleoresin turpentine biosynthesis,
PWY-5425,Biosynthesis,Secondary Metabolite Biosynthesis,oleoresin sesquiterpene volatiles biosynthesis,
PWY-5426,Biosynthesis,Secondary Metabolite Biosynthesis,betaxanthin biosynthesis,
PWY-5427,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,naphthalene degradation (aerobic),
PWY-5428,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,m-xylene degradation to m-toluate,
PWY-5429,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,p-xylene degradation to p-toluate,
PWY-5430,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,meta cleavage pathway of aromatic compounds,
PWY-5431,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,aromatic compounds degradation via &beta;-ketoadipate,
PWY-5433,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of lipoxygenase,
PWY-5434,Biosynthesis,Secondary Metabolite Biosynthesis,"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis",
PWY-5436,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-threonine degradation IV,
PWY-5437,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-threonine degradation I,
PWY-5439,Biosynthesis,Secondary Metabolite Biosynthesis,betacyanin biosynthesis (via dopamine),
PWY-5441,Activation/Inactivation/Interconversion,Interconversions,S-methyl-L-methionine cycle,
PWY-5443,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",aminopropanol phosphate biosynthesis I,
PWY-5450,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzene degradation,
PWY-5451,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,acetone degradation I (to methylglyoxal),
PWY-5453,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation III,
PWY-5456,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation VII,
PWY-5458,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation V,
PWY-5459,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation IV,
PWY-5461,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,betanidin degradation,
PWY-5462,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation VIII,
PWY-5464,Generation of Precursor Metabolites and Energy,Superpathways,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",
PWY-5466,Biosynthesis,Secondary Metabolite Biosynthesis,matairesinol biosynthesis,
PWY-5467,Biosynthesis,Secondary Metabolite Biosynthesis,gramine biosynthesis,
PWY-5468,Biosynthesis,Secondary Metabolite Biosynthesis,lupanine biosynthesis,
PWY-5469,Biosynthesis,Secondary Metabolite Biosynthesis,sesamin biosynthesis,
PWY-5470,Biosynthesis,Secondary Metabolite Biosynthesis,palmatine biosynthesis,
PWY-5472,Biosynthesis,Secondary Metabolite Biosynthesis,bisbenzylisoquinoline alkaloid biosynthesis,
PWY-5473,Biosynthesis,Secondary Metabolite Biosynthesis,hydroxycinnamic acid serotonin amides biosynthesis,
PWY-5474,Biosynthesis,Secondary Metabolite Biosynthesis,hydroxycinnamic acid tyramine amides biosynthesis,
PWY-5475,Biosynthesis,Secondary Metabolite Biosynthesis,pentagalloylglucose biosynthesis,
PWY-5476,Biosynthesis,Secondary Metabolite Biosynthesis,cornusiin E biosynthesis,
PWY-5477,Biosynthesis,Secondary Metabolite Biosynthesis,gallotannin biosynthesis,
PWY-5478,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of hydrolyzable tannin biosynthesis,
PWY-5479,Biosynthesis,Secondary Metabolite Biosynthesis,podophyllotoxin and 6-methoxypodophyllotoxin biosynthesis,
PWY-5480,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to ethanol I,
PWY-5481,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to lactate,
PWY-5482,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate II,
PWY-5483,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate III,
PWY-5484,Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis II (from fructose 6-phosphate),
PWY-5485,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate IV,
PWY-5486,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to ethanol II,
PWY-5487,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-nitrophenol degradation I,
PWY-5488,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-nitrophenol degradation II,
PWY-5489,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,methyl parathion degradation,
PWY-5490,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,paraoxon degradation,
PWY-5491,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,diethylphosphate degradation,
PWY-5493,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,reductive monocarboxylic acid cycle,
PWY-5494,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to propanoate II (acrylate pathway),
PWY-5497,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,purine nucleobases degradation II (anaerobic),
PWY-5499,Degradation/Utilization/Assimilation,"Cofactor, Prosthetic Group, Electron Carrier Degradation",vitamin B6 degradation,
PWY-5505,Biosynthesis,Amino Acid Biosynthesis,L-glutamate and L-glutamine biosynthesis,
PWY-5506,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methanol oxidation to formaldehyde IV,
PWY-5507,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",adenosylcobalamin biosynthesis I (early cobalt insertion),
PWY-5509,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",
PWY-5512,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-D-galactosamine biosynthesis I,
PWY-5514,Biosynthesis,Carbohydrate Biosynthesis,UDP-N-acetyl-D-galactosamine biosynthesis II,
PWY-5515,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-arabinose degradation II,
PWY-5516,Degradation/Utilization/Assimilation,Carbohydrate Degradation,xylose degradation II,
PWY-5517,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-arabinose degradation III,
PWY-5519,Degradation/Utilization/Assimilation,Carbohydrate Degradation,D-arabinose degradation III,
PWY-5521,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",L-ascorbate biosynthesis III,
PWY-5523,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","5,6-dimethylbenzimidazole biosynthesis",
PWY-5525,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-glucuronate degradation I,
PWY-5526,Biosynthesis,Tetrapyrrole Biosynthesis,bacteriochlorophyll a biosynthesis,
PWY-5529,Biosynthesis,Tetrapyrrole Biosynthesis,superpathway of bacteriochlorophyll a biosynthesis,
PWY-5530,Biosynthesis,Secondary Metabolite Biosynthesis,sorbitol biosynthesis II,
PWY-5531,Biosynthesis,Tetrapyrrole Biosynthesis,chlorophyllide a biosynthesis II (anaerobic),
PWY-5532,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,adenosine nucleotides degradation IV,
PWY-5533,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,acetone degradation II (to acetoacetate),
PWY-5534,Degradation/Utilization/Assimilation,Carbohydrate Degradation,propylene degradation,
PWY-5535,Degradation/Utilization/Assimilation,Carboxylate Degradation,acetate formation from acetyl-CoA II,
PWY-5536,Degradation/Utilization/Assimilation,Carboxylate Degradation,acetate formation from acetyl-CoA III (succinate),
PWY-5537,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate V,
PWY-5538,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate VI,
PWY-5600,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate VII,
PWY-561,Generation of Precursor Metabolites and Energy,Superpathways,superpathway of glyoxylate cycle and fatty acid degradation,
PWY-5629,Biosynthesis,Secondary Metabolite Biosynthesis,isopenicillin N biosynthesis,
PWY-5630,Biosynthesis,Secondary Metabolite Biosynthesis,penicillin K biosynthesis,
PWY-5631,Biosynthesis,Secondary Metabolite Biosynthesis,deacetylcephalosporin C biosynthesis,
PWY-5632,Biosynthesis,Secondary Metabolite Biosynthesis,cephalosporin C biosynthesis,
PWY-5633,Biosynthesis,Secondary Metabolite Biosynthesis,cephamycin C biosynthesis,
PWY-5634,Biosynthesis,Secondary Metabolite Biosynthesis,"superpathway of penicillin, cephalosporin and cephamycin biosynthesis",
PWY-5636,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-nitrophenol degradation,
PWY-5637,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,nitrobenzene degradation I,
PWY-5640,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,nitrobenzene degradation II,
PWY-5641,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-nitrotoluene degradation,
PWY-5642,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"2,4-dinitrotoluene degradation",
PWY-5643,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"2,6-dinitrotoluene degradation",
PWY-5644,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-nitrotoluene degradation II,
PWY-5645,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-chloronitrobenzene degradation,
PWY-5647,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-nitrobenzoate degradation I,
PWY-5648,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-nitrobenzoate degradation II,
PWY-5651,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,
PWY-5652,Degradation/Utilization/Assimilation,Carboxylate Degradation,2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA,
PWY-5653,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,
PWY-5654,Degradation/Utilization/Assimilation,Carboxylate Degradation,2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,
PWY-5655,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-tryptophan degradation IX,
PWY-5656,Biosynthesis,Metabolic Regulator Biosynthesis,mannosylglycerate biosynthesis I,
PWY-5658,Biosynthesis,Metabolic Regulator Biosynthesis,mannosylglycerate biosynthesis II,
PWY-5659,Biosynthesis,Carbohydrate Biosynthesis,GDP-mannose biosynthesis,
PWY-5660,Biosynthesis,Secondary Metabolite Biosynthesis,taxol biosynthesis,
PWY-5661,Biosynthesis,Carbohydrate Biosynthesis,GDP-glucose biosynthesis,
PWY-5662,Biosynthesis,Metabolic Regulator Biosynthesis,glucosylglycerate biosynthesis I,
PWY-5663,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",tetrahydrobiopterin biosynthesis I,
PWY-5665,Biosynthesis,Secondary Metabolite Biosynthesis,vanillin biosynthesis I,
PWY-5666,Biosynthesis,Secondary Metabolite Biosynthesis,steroidal glycoalkaloid biosynthesis,
PWY-5667,Biosynthesis,Fatty Acid and Lipid Biosynthesis,CDP-diacylglycerol biosynthesis I,
PWY-5668,Biosynthesis,Fatty Acid and Lipid Biosynthesis,cardiolipin biosynthesis I,
PWY-5669,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylethanolamine biosynthesis I,
PWY-5670,Biosynthesis,Fatty Acid and Lipid Biosynthesis,epoxysqualene biosynthesis,
PWY-5672,Biosynthesis,Secondary Metabolite Biosynthesis,ginsenosides biosynthesis,
PWY-5674,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction IV (dissimilatory),
PWY-5675,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction V (assimilatory),
PWY-5676,Generation of Precursor Metabolites and Energy,Fermentation,acetyl-CoA fermentation to butanoate II,
PWY-5677,Generation of Precursor Metabolites and Energy,Fermentation,succinate fermentation to butanoate,
PWY-5679,Biosynthesis,Secondary Metabolite Biosynthesis,clavulanate biosynthesis,
PWY-5686,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,UMP biosynthesis,
PWY-5690,Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle II (plants and fungi),
