Pathway	ENRIQ_10_S11_L001_Coverage	ENRIQ_11_S12_L001_Coverage	ENRIQ_12_S13_L001_Coverage	ENRIQ_13_S14_L001_Coverage	ENRIQ_14_S15_L001_Coverage	ENRIQ_15_S16_L001_Coverage	ENRIQ_16_S17_L001_Coverage	ENRIQ_17_S18_L001_Coverage	ENRIQ_18_S19_L001_Coverage	ENRIQ_19_S20_L001_Coverage	ENRIQ_1_S2_L001_Coverage	ENRIQ_20_S21_L001_Coverage	ENRIQ_21_S22_L001_Coverage	ENRIQ_22_S23_L001_Coverage	ENRIQ_23_S24_L001_Coverage	ENRIQ_24_S25_L001_Coverage	ENRIQ_25_S26_L001_Coverage	ENRIQ_26_S27_L001_Coverage	ENRIQ_27_S28_L001_Coverage	ENRIQ_28_S29_L001_Coverage	ENRIQ_29_S30_L001_Coverage	ENRIQ_2_S3_L001_Coverage	ENRIQ_30_S31_L001_Coverage	ENRIQ_31_S32_L001_Coverage	ENRIQ_32_S33_L001_Coverage	ENRIQ_33_S34_L001_Coverage	ENRIQ_34_S35_L001_Coverage	ENRIQ_35_S36_L001_Coverage	ENRIQ_36_S37_L001_Coverage	ENRIQ_37_S38_L001_Coverage	ENRIQ_38_S39_L001_Coverage	ENRIQ_39_S40_L001_Coverage	ENRIQ_3_S4_L001_Coverage	ENRIQ_40_S41_L001_Coverage	ENRIQ_41_S42_L001_Coverage	ENRIQ_42_S43_L001_Coverage	ENRIQ_43_S44_L001_Coverage	ENRIQ_44_S45_L001_Coverage	ENRIQ_45_S46_L001_Coverage	ENRIQ_46_S47_L001_Coverage	ENRIQ_47_S48_L001_Coverage	ENRIQ_48_S49_L001_Coverage	ENRIQ_49_S50_L001_Coverage	ENRIQ_4_S5_L001_Coverage	ENRIQ_50_S51_L001_Coverage	ENRIQ_51_S52_L001_Coverage	ENRIQ_52_S53_L001_Coverage	ENRIQ_53_S54_L001_Coverage	ENRIQ_54_S55_L001_Coverage	ENRIQ_55_S56_L001_Coverage	ENRIQ_56_S57_L001_Coverage	ENRIQ_57_S58_L001_Coverage	ENRIQ_58_S59_L001_Coverage	ENRIQ_59_S60_L001_Coverage	ENRIQ_5_S6_L001_Coverage	ENRIQ_60_S61_L001_Coverage	ENRIQ_61_S62_L001_Coverage	ENRIQ_62_S63_L001_Coverage	ENRIQ_6_S7_L001_Coverage	ENRIQ_7_S8_L001_Coverage	ENRIQ_8_S9_L001_Coverage	ENRIQ_9_S10_L001_Coverage
GLYCOCAT-PWY: glycogen degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.64035	0	2.39E-06	0	0	0.000209509	0	0	0	0	0	0	21.4223	0	0	0	0	0	0	0.57285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	17721.3	19165.9	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13232.5	11022.7	11940.9	11772.7	21314.1	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13370.8	13129	21822.5	17175.3	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18915.1	17240.1	13331.5	19089.4	12659.7	11926.3	18145.2	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18395.3	15809.3	18549	20175.5	20953.7	23334.7	20111.2	16561.8
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.617602	0.0175507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000715539	0	0	0	0	0	0
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	0	0	10454.7	11791.2	6306.03	5492.82	10402.2	9991.73	10799.6	0	11130.1	10902.9	10161.3	11903.6	12099.9	2460.95	12518.9	11020.9	10608.8	11392.8	0	11919.7	12997.8	10882.6	10019.9	10805.6	10994.3	10071.3	11089.9	8.4263	2149.8	0	17220.4	17561.7	16509.7	11167	1157.05	7256.92	16902.1	18194.5	17246	826.053	0	8019.05	10411	17993.3	15432.8	16647.4	13395.7	339.456	9612.35	17377.5	18276.2	0	13875.5	0	0	0	0	0	0
GLYOXYLATE-BYPASS: glyoxylate cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116026	0	0	0	0	1.25E-06	0	0	0	0	0	0	0	837.009	0	0	398.418	0.0354397	0	0	0	0	1.06E-05	0.0427288	1.47699	0.00327422	0	0	0	5.08E-05	0.933458	6844.96	31.8829	0	0	0.000718958	0.00102049	0	0.0461064	0	0	0	0	0	0
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99E-05	0	0	4.65E-05	0.00100152	0	0	0	0	454.074	0	1.04E-05	4.00E-06	0	0	0	97.906	13.5891	81.8249	0	0	0	0	0.0101976	0	1.58E-05	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65E-05	0.00100152	0	0	0	0	0.022165	0	1.04E-05	0	0	0	0	97.906	13.5891	0	0	0	0	0	0.0101976	0	0	0	0	0	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.47494	0	0	4.65E-05	0.00100152	0	0	0	0	455.228	0	1.04E-05	4.00E-06	0	0	0	97.9188	13.5887	81.8314	0	0	0	0	0.0101976	0	1.58E-05	0	0	0	0	0	0
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.230468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.746262	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis	17107	11876.9	1460.25	12074.6	12090.2	12008.1	13098.8	12778.7	11628	10799.6	15160.5	11130.1	10902.9	11939.2	11905	12099.9	11218.5	10211.7	11022.7	11940.9	11772.7	21244.9	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	2507.07	13071.5	20834	0	0	0	11167.3	12845.7	12640	0	0	0	12465.2	16633.1	10437.8	11385.8	0	0	0	0	12349.4	12217.9	0	0	16475	0.552349	15147.8	17405.7	10974.2	14281.5	2624.53	16458.9
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	0	0	6.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.120308	0	0	0	0	0	0	0	0	0	0	0	0	442.148	0.0104192	0	11233.5	4469.75	0.0447115	0	0	0.00023893	10352.9	16855.1	1.73E-06	0	0	0.00113051	0	10975	4.45182	16651.2	9394.38	0	0	5822.3	9.99018	0	5.90903	0	0	0	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III	0.673901	0.715265	0	9042.1	12239.1	12002.8	12167.7	3195.15	11628	10799.6	0	11130.1	10901.5	11865.4	11873.3	12099.7	11218.4	8553.98	11022.7	11667.5	11769.9	2633.41	12329.2	12889.4	10882.6	10019.9	10805.6	10994.4	10071.3	11088.8	12983.4	12904	6.55E-06	0	0	0	11167.3	12845.7	12240.5	0	0	0	13317.4	0.0110681	12250.2	11926.1	0	0	0	0	12586.9	11604.7	0	0	0.00165006	238.455	0.0739271	0.0169615	15.8883	4.30748	0.0104082	3.31E-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	17721.3	19093.3	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	21277.8	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	21825	17220.6	17566.8	16512.1	11167.3	12845.7	12915.1	17707.9	18861	16895.2	13331.5	19087.3	12659.7	11926.3	17934	12304.8	16651.3	14823	12587.2	12218	17918.1	18287.1	18395.3	15830.5	18549	20185.1	20953.7	23334.7	22518.9	16561.8
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000809165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137648	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	0	0	0	107.11	0.00194532	1.57E-05	23.9162	0	0	0	0	0	0	0	0	1.12E-06	0.000153632	0	0	0.0143344	0	1.25E-06	0	0	0	8.20584	0	0	0	0	45.0802	0	0	0	0	0.0252034	0	0	0	0	0	0	0	0	2.39E-06	0	0	0	0	0	0	0	0	0	0	0	0.000282592	0	0	0	0
LIPASYN-PWY: phospholipases	0	0	0	0	0.14488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3065.98	27.5355	0	0	0	0	8.85E-06	0	0	0	0	0	0	651.851	3.42E-06	5278.88	0.000979803	0	0	0.995935	0.00209401	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	0	1.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.24061	0	0	0	0	0	0	0	0	0	0	0	0	856.193	0.0208384	0	13597.1	7105.46	0.089423	0	0	0.000476568	13060.5	17394.7	5.18E-06	0	0	0.00225976	1.19E-06	3227.47	8.90132	16651.3	11500.3	0	0	8788.66	19.9694	0	11.8136	0	0	0	0	0	0
METH-ACETATE-PWY: methanogenesis from acetate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	0	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.210539	0	0	0	0	0	0	0	0	0	0	0	0	755.189	0.0182336	0	13200.4	6568.78	0.0782459	0	0	0.000417159	12594.9	17680.6	3.45E-06	0	0	0.00197745	0	13212.8	7.78916	16651.3	11143.4	0	0	8193.47	17.4756	0	10.3379	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	0	0.165597	0	0	0	0	0	0	0	0	0	0	0	0	2.65E-06	0	0	0	0	0	0	0	0	0	0	0	5.10E-05	16.9578	1.97E-05	0	2.38726	2.64E-05	16.876	0	0	0	13.3631	26.5818	12831.8	0.0130516	0	0	0	10692	0	0	2.96E-06	0	0	0.000390855	1325.17	0	0.00825403	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	17721.2	19148.6	18354.2	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17288	11130.1	10902.9	11939.2	11904.8	12099.9	11218.5	10113	11022.7	11940.9	11772.7	20638.8	12545.5	12997.2	10882.6	10019.9	10805.6	10994.4	10071.3	11090	11554.1	12474.6	21208.4	0.434346	0	0.0820817	11167.3	12845.6	12874.2	0	462.435	2.84288	12578.8	19068.6	6.90828	11908.2	0	35.4772	0	6.05789	12520.9	12218	7.17E-06	2508.54	16285	361.009	18438.6	15680.2	18381.9	44.4718	22236.4	16561.8
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	17718.6	19136.4	18307.4	12074.6	12246.9	12008.1	13098.7	12778.7	11628	10799.6	17194.2	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	1699.02	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	914.417	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18915.7	17252.5	13331.5	19048.6	12659.7	11926.3	18145.8	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18216.9	15830.5	13836.4	19479.3	19090.2	15544.2	248.972	16561.8
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0	8.43E-05	0	11915.7	9942.34	5919.68	12883.4	10150.2	8689.63	10799.6	0	11130.1	10814.7	11936.6	11829.9	12005.7	11218.4	12923.7	11022.7	11940.3	10717.6	1.92E-05	12095.7	9958.37	10882.6	10019.9	10805.6	10994.4	10071.3	11080.8	6464.44	12995.8	0	0	0	0	11167.3	3003.5	12787.9	0	0	0	9788.73	0	2504.56	641.625	0	0	0	0	8653.95	12105.8	0	0	0	0	0	0	0	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	206.727	0	0	17220.6	16866.6	124.246	0	0	0	16808.5	16220.3	12603.2	0	0	0	0	13823.1	9914.55	14828.8	13907.5	1.86995	0	17892.9	18247.9	0	47.5033	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P122-PWY: heterolactic fermentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation (anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2977	0	0	19.496	411.607	0.00151581	0	0	0	18.1128	0.0226421	11.7639	0.00203039	0	0	0	173.856	0.199342	2091.12	0	0	0	5.20E-05	0	0	0.00438347	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P221-PWY: octane oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23-PWY: reductive TCA cycle I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.511269	0	0	0	0	0	0	0	0	0	0	0	0	0.391629	0.0440361	0	0	0	0	0	0	0.00101255	0	0	0	0	0	0	1.19E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	2043.08	43.1628	24.5375	8150.39	8326.32	12003.1	12951	1000.22	11628	10799.6	6270.97	11130.1	10876.4	8105.93	11902.6	12081.3	11213.1	8784.38	11021.8	11935.5	10855.5	3813.47	6253.5	7752.29	10881.9	10018.6	10805.6	10994.4	10071.3	10795.7	8172.37	1260.39	101.188	0	0	0	11063.5	12753.3	2488.1	0	0	0	12430.3	2527.8	2962.37	7754.03	0	0	0	4.45E-06	10708.6	8238.03	0	0	14456.6	0	8866.53	20095.5	0.144413	6.12747	0	2.10578
P42-PWY: incomplete reductive TCA cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0	0	0	0	1.22E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.71389	0	0	0	0	0	0	0	0	1.77E-06	0	0	0	0	0	0	0.00421347	0	0	0	0	0	0	0	0	0.0183207	0	0	0	0	0	0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"	0	0	0	0	0.000435991	0	0	0	0	0	0	0	0	0	0	0	0	2.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	9142.31	4.86E-05	0	17220.6	17567.6	16496.9	0	0.00562385	0.000278967	17707.9	18915.5	17252.5	4638.73	0	530.883	3.58E-06	18145.8	13502.5	16651.3	14823	464.578	6.76994	17917.4	10764.6	0	15829.2	0	0	0	0	0	0
P621-PWY: nylon-6 oligomer degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	54.3029	1239.14	369.296	12074.3	338.906	2988.69	6437.48	347.862	4123.65	285.705	640.767	10100.4	10455.5	1794.77	0.0360889	7.78823	11217.6	0	9050.68	193.721	11422	10.6307	8810.54	1.32153	9316.13	8779.49	10805.5	10471.4	10071.3	4333.45	140.973	4821.76	26.1456	17140.6	882.035	181.219	11130	14.4242	1.29E-06	6.42373	10169.6	12.2577	0.00633514	4.55368	9288.79	9897.91	7586.72	17026.1	16315.4	14524.4	37.2426	1890.29	29.373	55.215	8214.29	2201.8	1403.34	13306.8	1275.75	63.8438	262.848	4267.23
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	121.544	1552.47	792.856	9094.76	718.599	462.062	1480.28	99.7183	6428.52	621.784	1306.37	7949.44	1122.76	3399.42	0.0811983	10.1946	11218	0	10032.7	426.813	11612	23.6954	5738.52	2.96701	10124.5	9417.08	10805.4	10755.6	10071.3	621.171	0.261	541.268	56.8046	0	0	0	11016.8	1.16E-05	0	0	0	0	0.0142541	10.2424	0.242096	2160.11	0	0	0	9.34E-05	43.163	8.55E-06	0	0	10544.1	3.17E-06	2882.2	9927.14	2462.19	141.289	581.377	7261.23
PENTOSE-P-PWY: pentose phosphate pathway	0	0	0	11927.4	12201.7	12006.8	13000.8	12352.1	11628	10099.3	0	10909.3	10626.9	2714.84	7815.3	11759.7	11218.1	8084.94	11022.7	11939.4	11772.7	3.05116	12543.7	6073.69	10441.2	7864.65	10760.7	10991.7	10070	11090	13486	13128.7	0	17220.4	17570.5	16374.5	11167.3	12845.6	12915.1	16253.9	18900.6	17252.4	12798.2	0.0648621	12657.2	11533.5	18145.8	17087.1	16648.4	14696.4	12586.2	12217.4	17927.8	16802.8	0	13791.9	0.0024225	0.664914	0	4.67E-06	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	17721.3	19146.9	18355.4	12074.6	12246.8	12008.1	13098.8	12778.7	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13004.2	11022.7	11940.9	11772.7	19978.5	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	10569	13129	21288.9	11908.3	8481.17	15386.2	11167.3	12845.7	12915.1	2609.28	635.823	1058.64	13331.2	18969.9	12659.7	11926.3	8298.67	12.7915	5404.71	14822.2	12587.2	12218	7714.36	685.811	17286.4	12857.4	18545.8	18490.1	20953	21646.2	20747.4	16561.8
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0	0	0	0.000711191	328.077	2722.56	0.163379	0.0268812	0	0	0	0	166.318	0	4.64E-05	0.000780443	0	227.366	0.000225965	0	0.804226	0	0	0	0	0.00042184	0	0	0	0.00613497	9755.47	5594.78	0	4259.14	17570.4	16512	0.000519279	12845.6	12282.4	16532.9	15829.3	16951.2	0.00366617	0	12645.6	11484.9	56.5042	17076.5	16641.2	12884.2	9699.25	5255.33	17751.9	12530.1	0	504.782	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	0	0	0	0	0	0	577.964	0	0	0	4.45E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.44E-06	0	0	15882.7	0	0.0234522	0	0	0	0	490.009	1.32298	0	0	0	0	0	1090.58	9340.05	1.73191	0	0	1.79E-06	8492.75	0	105.288	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV	17721.3	19165.9	18355.4	12074.6	12189.1	12008	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11938.5	11905	12099.9	11218.5	13234.5	11022.7	11940.9	11772.7	21340.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11089.9	13482.3	12989.7	21825	17220.6	17570.5	16507.7	11167.3	12845.7	12153.8	17707.9	18915.7	17252.5	13331.5	19089.2	10409.4	11201.7	18145.8	17087.3	16639.7	14823	12587	12218	17926.8	18288.3	18395.3	15830.4	18548.8	20185.1	20953.7	23334.7	20869	16561.8
